OrigFolder,Latitude,Longitude
August2017_L31,N00 37.715,E036 46.655
August2017_L33,N00 37.687,E036 48.376
August2017_L34,N00 37.710,E036 49.177
August2017_L35,N00 37.661,E036 50.125
August2017_L36,N00 37.682,E036 50.999
August2017_L40,N00 36.851,E036 46.646
August2017_L42,N00 36.814,E036 49.235
August2017_L43,N00 36.816,E036 50.098
August2017_L44,N00 36.795,E036 50.974
August2017_L45,N00 36.936,E036 51.754
August2017_L48,N00 35.903,E036 46.676
August2017_L49,N00 35.945,E036 47.482
August2017_L50,N00 35.919,E036 48.378
August2017_L51,N00 35.950,E036 49.355
August2017_L56,N00 35.011,E036 46.789
August2017_L57,N00 35.040,E036 47.491
August2017_L59,N00 35.176,E036 49.455
August2017_L65,N00 34.250,E036 46.695
August2017_L66,N00 34.245,E036 47.569
August2017_L69,N00 34.266,E036 48.374
August2017_L74,N00 33.373,E036 50.973
August2017_L74_part2,N00 33.373,E036 50.973
L01_May-October_2016-100EK113,N00 38.598,E036 45.935
L01_May-October_2016-101EK113,N00 38.598,E036 45.935
L01_May-October_2016-102EK113,N00 38.598,E036 45.935
L01_May-October_2016-103EK113,N00 38.598,E036 45.935
L01_May-October_2016-104EK113,N00 38.598,E036 45.935
L01_May-October_2016-105EK113,N00 38.598,E036 45.935
L01_May-October_2016-106EK113,N00 38.598,E036 45.935
L01_May-October_2016-107EK113,N00 38.598,E036 45.935
L01_May-October_2016-108EK113,N00 38.598,E036 45.935
L01_May-October_2016-109EK113,N00 38.598,E036 45.935
L01_May-October_2016-110EK113,N00 38.598,E036 45.935
L01_May-October_2016-111EK113,N00 38.598,E036 45.935
L01_May-October_2016-112EK113,N00 38.598,E036 45.935
L01_May-October_2016-113EK113,N00 38.598,E036 45.935
L1_February-May_2016-100EK113,N00 32.892,E036 51.151
L1_February-May_2016-101EK113,N00 32.892,E036 51.151
L1_February-May_2016-102EK113,N00 32.892,E036 51.151
L1_February-May_2016-103EK113,N00 32.892,E036 51.151
L1_February-May_2016-104EK113,N00 32.892,E036 51.151
L1_February-May_2016-105EK113,N00 32.892,E036 51.151
L1_February-May_2016-106EK113,N00 32.892,E036 51.151
L1_February-May_2016-107EK113,N00 32.892,E036 51.151
L1_February-May_2016-108EK113,N00 32.892,E036 51.151
L1_February-May_2016-109EK113,N00 32.892,E036 51.151
L1_February-May_2016-110EK113,N00 32.892,E036 51.151
L1_February-May_2016-111EK113,N00 32.892,E036 51.151
L1_February-May_2016-112EK113,N00 32.892,E036 51.151
L10_February-May_2016-100EK113,N00 37.451,E036 49.601
L10_February-May_2016-101EK113,N00 37.451,E036 49.601
L10_February-May_2016-102EK113,N00 37.451,E036 49.601
L10_February-May_2016-103EK113,N00 37.451,E036 49.601
L10_February-May_2016-104EK113,N00 37.451,E036 49.601
L10_February-May_2016-105EK113,N00 37.451,E036 49.601
L10_February-May_2016-106EK113,N00 37.451,E036 49.601
L10_February-May_2016-107EK113,N00 37.451,E036 49.601
L10_February-May_2016-108EK113,N00 37.451,E036 49.601
L10_February-May_2016-109EK113,N00 37.451,E036 49.601
L10_February-May_2016-110EK113,N00 37.451,E036 49.601
L10_February-May_2016-111EK113,N00 37.451,E036 49.601
L10_February-May_2016-112EK113,N00 37.451,E036 49.601
L10_February-May_2016-113EK113,N00 37.451,E036 49.601
L10_February-May_2016-114EK113,N00 37.451,E036 49.601
L10_February-May_2016-115EK113,N00 37.451,E036 49.601
L11_February-May_2016-100EK113,N00 35.989,E036 48.023
L11_February-May_2016-101EK113,N00 35.989,E036 48.023
L11_February-May_2016-102EK113,N00 35.989,E036 48.023
L11_February-May_2016-103EK113,N00 35.989,E036 48.023
L11_February-May_2016-104EK113,N00 35.989,E036 48.023
L11_February-May_2016-105EK113,N00 35.989,E036 48.023
L11_February-May_2016-106EK113,N00 35.989,E036 48.023
L11_February-May_2016-107EK113,N00 35.989,E036 48.023
L11_February-May_2016-108EK113,N00 35.989,E036 48.023
L11_February-May_2016-109EK113,N00 35.989,E036 48.023
L11_February-May_2016-110EK113,N00 35.989,E036 48.023
L11_February-May_2016-111EK113,N00 35.989,E036 48.023
L11_February-May_2016-112EK113,N00 35.989,E036 48.023
L11_February-May_2016-113EK113,N00 35.989,E036 48.023
L11_February-May_2016-114EK113,N00 35.989,E036 48.023
L11_February-May_2016-115EK113,N00 35.989,E036 48.023
L11_March-April_2017,N00 40.332,E036 46.665
L11_May-October_2016-100EK113,N00 35.985,E036 47.830
L11_May-October_2016-101EK113,N00 35.985,E036 47.830
L11_May-October_2016-102EK113,N00 35.985,E036 47.830
L11_May-October_2016-103EK113,N00 35.985,E036 47.830
L11_May-October_2016-104EK113,N00 35.985,E036 47.830
L11_May-October_2016-105EK113,N00 35.985,E036 47.830
L11_May-October_2016-106EK113,N00 35.985,E036 47.830
L11_May-October_2016-107EK113,N00 35.985,E036 47.830
L11_May-October_2016-108EK113,N00 35.985,E036 47.830
L11_May-October_2016-109EK113,N00 35.985,E036 47.830
L11_May-October_2016-110EK113,N00 35.985,E036 47.830
L11_May-October_2016-111EK113,N00 35.985,E036 47.830
L11_May-October_2016-112EK113,N00 35.985,E036 47.830
L11_May-October_2016-113EK113,N00 35.985,E036 47.830
L11_May-October_2016-114EK113,N00 35.985,E036 47.830
L11_May-October_2016-115EK113,N00 35.985,E036 47.830
L11_May-October_2016-116EK113,N00 35.985,E036 47.830
L11_May-October_2016-117EK113,N00 35.985,E036 47.830
L11_May-October_2016-118EK113,N00 35.985,E036 47.830
L11_May-October_2016-119EK113,N00 35.985,E036 47.830
L11_May-October_2016-120EK113,N00 35.985,E036 47.830
L11_May-October_2016-121EK113,N00 35.985,E036 47.830
L11_May-October_2016-122EK113,N00 35.985,E036 47.830
L11_May-October_2016-123EK113,N00 35.985,E036 47.830
L11_May-October_2016-124EK113,N00 35.985,E036 47.830
L11_May-October_2016-125EK113,N00 35.985,E036 47.830
L11_May-October_2016-126EK113,N00 35.985,E036 47.830
L12_February-May_2016-100EK113,N00 34.619,E036 47.858
L12_February-May_2016-101EK113,N00 34.619,E036 47.858
L12_February-May_2016-102EK113,N00 34.619,E036 47.858
L12_February-May_2016-103EK113,N00 34.619,E036 47.858
L12_February-May_2016-104EK113,N00 34.619,E036 47.858
L12_February-May_2016-105EK113,N00 34.619,E036 47.858
L12_February-May_2016-106EK113,N00 34.619,E036 47.858
L12_February-May_2016-107EK113,N00 34.619,E036 47.858
L12_February-May_2016-108EK113,N00 34.619,E036 47.858
L12_February-May_2016-109EK113,N00 34.619,E036 47.858
L12_February-May_2016-110EK113,N00 34.619,E036 47.858
L12_February-May_2016-111EK113,N00 34.619,E036 47.858
L12_February-May_2016-112EK113,N00 34.619,E036 47.858
L12_February-May_2016-113EK113,N00 34.619,E036 47.858
L12_February-May_2016-114EK113,N00 34.619,E036 47.858
L12_February-May_2016-115EK113,N00 34.619,E036 47.858
L13_February-May_2016-100EK113,N00 31.547,E036 50.813
L13_February-May_2016-101EK113,N00 31.547,E036 50.813
L13_February-May_2016-102EK113,N00 31.547,E036 50.813
L13_February-May_2016-103EK113,N00 31.547,E036 50.813
L13_February-May_2016-104EK113,N00 31.547,E036 50.813
L13_February-May_2016-105EK113,N00 31.547,E036 50.813
L13_February-May_2016-106EK113,N00 31.547,E036 50.813
L13_February-May_2016-107EK113,N00 31.547,E036 50.813
L13_February-May_2016-108EK113,N00 31.547,E036 50.813
L13_February-May_2016-109EK113,N00 31.547,E036 50.813
L13_February-May_2016-110EK113,N00 31.547,E036 50.813
L13_February-May_2016-111EK113,N00 31.547,E036 50.813
L13_February-May_2016-112EK113,N00 31.547,E036 50.813
L13_February-May_2016-113EK113,N00 31.547,E036 50.813
L13_February-May_2016-114EK113,N00 31.547,E036 50.813
L13_February-May_2016-115EK113,N00 31.547,E036 50.813
L13_March-April_2017,N00 40.207,E036 48.443
L13_March-April_2017-101EK113-Y,N00 40.207,E036 48.443
L14_February-May_2016-100EK113,N00 37.363,E036 47.951
L14_February-May_2016-101EK113,N00 37.363,E036 47.951
L14_February-May_2016-102EK113,N00 37.363,E036 47.951
L14_February-May_2016-103EK113,N00 37.363,E036 47.951
L14_February-May_2016-104EK113,N00 37.363,E036 47.951
L14_February-May_2016-105EK113,N00 37.363,E036 47.951
L14_February-May_2016-106EK113,N00 37.363,E036 47.951
L14_February-May_2016-107EK113,N00 37.363,E036 47.951
L14_February-May_2016-108EK113,N00 37.363,E036 47.951
L14_February-May_2016-109EK113,N00 37.363,E036 47.951
L14_February-May_2016-110EK113,N00 37.363,E036 47.951
L14_February-May_2016-111EK113,N00 37.363,E036 47.951
L16_February-May_2016-103EK113,N00 37.395,E036 46.498
L16_February-May_2016-104EK113,N00 37.395,E036 46.498
L16_February-May_2016-105EK113,N00 37.395,E036 46.498
L16_February-May_2016-106EK113,N00 37.395,E036 46.498
L16_February-May_2016-107EK113,N00 37.395,E036 46.498
L16_February-May_2016-108EK113,N00 37.395,E036 46.498
L16_February-May_2016-109EK113,N00 37.395,E036 46.498
l16_loisaba_may_october_2016_100ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_101ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_102ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_103ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_104ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_105ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_106ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_107ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_108ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_109ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_110ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_111ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_112ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_113ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_114ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_115ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_116ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_117ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_118ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_119ek113,N00 40.924,E036 48.317
l16_loisaba_may_october_2016_120ek113,N00 40.924,E036 48.317
L17_February-May_2016-100EK113,N00 40.406,E036 49.280
L17_February-May_2016-101EK113,N00 40.406,E036 49.280
L17_February-May_2016-102EK113,N00 40.406,E036 49.280
L17_February-May_2016-103EK113,N00 40.406,E036 49.280
L17_February-May_2016-104EK113,N00 40.406,E036 49.280
L17_February-May_2016-105EK113,N00 40.406,E036 49.280
L17_February-May_2016-106EK113,N00 40.406,E036 49.280
L17_February-May_2016-107EK113,N00 40.406,E036 49.280
L17_February-May_2016-108EK113,N00 40.406,E036 49.280
L17_February-May_2016-109EK113,N00 40.406,E036 49.280
L17_February-May_2016-110EK113,N00 40.406,E036 49.280
L17_February-May_2016-111EK113,N00 40.406,E036 49.280
L17_February-May_2016-112EK113,N00 40.406,E036 49.280
L17_February-May_2016-113EK113,N00 40.406,E036 49.280
L17_February-May_2016-114EK113,N00 40.406,E036 49.280
L17_February-May_2016-115EK113,N00 40.406,E036 49.280
L17_March-April_2017,N00 36.796,E036 50.975
L17_May_To_Oct_2016,N00 35.311,E036 51.122
L18_February-May_2016-100EK113,N00 39.179,E036 45.458
L18_February-May_2016-101EK113,N00 39.179,E036 45.458
L18_February-May_2016-102EK113,N00 39.179,E036 45.458
L18_February-May_2016-103EK113,N00 39.179,E036 45.458
L18_February-May_2016-104EK113,N00 39.179,E036 45.458
L18_February-May_2016-105EK113,N00 39.179,E036 45.458
L18_February-May_2016-106EK113,N00 39.179,E036 45.458
L18_February-May_2016-107EK113,N00 39.179,E036 45.458
L18_February-May_2016-108EK113,N00 39.179,E036 45.458
L18_February-May_2016-109EK113,N00 39.179,E036 45.458
L18_February-May_2016-110EK113,N00 39.179,E036 45.458
L18_February-May_2016-111EK113,N00 39.179,E036 45.458
L18_February-May_2016-112EK113,N00 39.179,E036 45.458
L18_February-May_2016-113EK113,N00 39.179,E036 45.458
L18_February-May_2016-114EK113,N00 39.179,E036 45.458
L18_February-May_2016-115EK113,N00 39.179,E036 45.458
l18_loisaba_may_october_2016_100ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_101ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_102ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_103ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_104ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_105ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_106ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_107ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_108ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_109ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_110ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_111ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_112ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_113ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_114ek113,N00 36.746,E036 51.676
l18_loisaba_may_october_2016_115ek113,N00 36.746,E036 51.676
L2_March-April_2017,N00 38.529,E036 46.643
L2_May-October_2016-100EK113,N00 37.609,E036 47.427
L2_May-October_2016-101EK113,N00 37.609,E036 47.427
L2_May-October_2016-102EK113,N00 37.609,E036 47.427
L2_May-October_2016-103EK113,N00 37.609,E036 47.427
L2_May-October_2016-104EK113,N00 37.609,E036 47.427
L2_May-October_2016-105EK113,N00 37.609,E036 47.427
L22_March-April_2017,N00 38.494,E036 49.278
L24_March-April_2017,N00 38.650,E036 50.974
L3_February-May_2016-100EK113,N00 35.987,E036 49.553
L3_February-May_2016-101EK113,N00 35.987,E036 49.553
L3_February-May_2016-102EK113,N00 35.987,E036 49.553
L3_February-May_2016-103EK113,N00 35.987,E036 49.553
L3_February-May_2016-104EK113,N00 35.987,E036 49.553
L3_February-May_2016-105EK113,N00 35.987,E036 49.553
L3_February-May_2016-106EK113,N00 35.987,E036 49.553
L3_February-May_2016-107EK113,N00 35.987,E036 49.553
L3_February-May_2016-108EK113,N00 35.987,E036 49.553
L3_February-May_2016-109EK113,N00 35.987,E036 49.553
L3_February-May_2016-110EK113,N00 35.987,E036 49.553
L3_February-May_2016-111EK113,N00 35.987,E036 49.553
L3_February-May_2016-112EK113,N00 35.987,E036 49.553
L3_February-May_2016-113EK113,N00 35.987,E036 49.553
L3_February-May_2016-114EK113,N00 35.987,E036 49.553
L3_February-May_2016-115EK113,N00 35.987,E036 49.553
L3_May-October_2016-100EK113,N00 37.950,E036 49.316
L3_May-October_2016-101EK113,N00 37.950,E036 49.316
L3_May-October_2016-102EK113,N00 37.950,E036 49.316
L3_May-October_2016-103EK113,N00 37.950,E036 49.316
l32_loisaba_may_october_2016_100ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_101ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_102ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_103ek113,N00 39.886,E036 50.566
l32_loisaba_may_october_2016_104ek113,N00 39.886,E036 50.566
